Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
30748075,06/01/2015 02:38:25 PM,06/01/2015 02:47:30 PM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,10305,,,,,ST MARYS AVENUE,OAK STREET,INTERSECTION,STATEN ISLAND,,Precinct,Closed,06/01/2015 10:38:25 PM,06/01/2015 02:47:30 PM,01 STATEN ISLAND,STATEN ISLAND,963237,162468,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.61258861162453,-74.07568315408508,"(40.61258861162453, -74.07568315408508)"
30762899,06/03/2015 11:54:54 PM,06/04/2015 01:43:03 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Store/Commercial,11414,,,,,165 AVENUE,95 STREET,INTERSECTION,HOWARD BEACH,,Precinct,Closed,06/04/2015 07:54:54 AM,06/04/2015 01:43:03 AM,10 QUEENS,QUEENS,1029905,175918,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.6494132503695,-73.83547217816559,"(40.6494132503695, -73.83547217816559)"
30771683,06/04/2015 08:37:59 PM,06/04/2015 10:45:15 PM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,10305,,,,,ST MARYS AVENUE,OAK STREET,INTERSECTION,STATEN ISLAND,,Precinct,Closed,06/05/2015 04:37:59 AM,06/04/2015 10:45:15 PM,01 STATEN ISLAND,STATEN ISLAND,963237,162468,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.61258861162453,-74.07568315408508,"(40.61258861162453, -74.07568315408508)"
30771690,06/05/2015 12:22:08 AM,06/05/2015 01:15:13 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,10002,,,,,HESTER STREET,LUDLOW STREET,INTERSECTION,NEW YORK,,Precinct,Closed,06/05/2015 08:22:08 AM,06/05/2015 01:15:13 AM,03 MANHATTAN,MANHATTAN,986867,200060,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.7157948361671,-73.99055967847579,"(40.7157948361671, -73.99055967847579)"
30783483,06/06/2015 09:22:22 AM,06/06/2015 09:50:29 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Residential Building/House,11204,74 STREET,74 STREET,NEW UTRECTH AVENUE,17 AVENUE,,,BLOCKFACE,BROOKLYN,,Precinct,Closed,06/06/2015 05:22:22 PM,06/06/2015 09:50:29 AM,11 BROOKLYN,BROOKLYN,984603,163712,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.61602804353828,-73.99872852393159,"(40.61602804353828, -73.99872852393159)"
30789172,06/06/2015 09:42:36 PM,06/06/2015 11:19:55 PM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11378,,,,,54 AVENUE,66 STREET,INTERSECTION,MASPETH,,Precinct,Closed,06/07/2015 05:42:36 AM,06/06/2015 11:19:55 PM,05 QUEENS,QUEENS,1012319,204660,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.7283765764596,-73.89872736998207,"(40.7283765764596, -73.89872736998207)"
30792623,06/07/2015 04:40:14 PM,06/07/2015 11:24:52 PM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,10460,820 SUBURBAN PLACE,SUBURBAN PLACE,CROTONA PARK EAST,BOSTON ROAD,,,ADDRESS,BRONX,,Precinct,Closed,06/08/2015 12:40:14 AM,06/07/2015 11:24:52 PM,03 BRONX,BRONX,1014295,243875,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.83600475326709,-73.89142261732329,"(40.83600475326709, -73.89142261732329)"
30811290,06/09/2015 08:54:20 PM,06/09/2015 09:21:27 PM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11238,390 ST MARKS AVENUE,ST MARKS AVENUE,GRAND AVENUE,CLASSON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/10/2015 04:54:20 AM,06/09/2015 09:21:27 PM,08 BROOKLYN,BROOKLYN,994828,185977,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.677134342198315,-73.96186402925345,"(40.677134342198315, -73.96186402925345)"
30832384,06/12/2015 11:03:43 PM,06/13/2015 01:13:25 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11428,,,,,215 STREET,90 AVENUE,INTERSECTION,QUEENS VILLAGE,,Precinct,Closed,06/13/2015 07:03:43 AM,06/13/2015 01:13:25 AM,13 QUEENS,QUEENS,1054471,203019,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72363825548293,-73.74666115422131,"(40.72363825548293, -73.74666115422131)"
30872071,06/17/2015 08:48:50 PM,06/17/2015 09:19:11 PM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11420,,,,,123 STREET,116 AVENUE,INTERSECTION,SOUTH OZONE PARK,,Precinct,Closed,06/18/2015 04:48:50 AM,06/17/2015 09:19:11 PM,10 QUEENS,QUEENS,1035499,185711,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.676262203864916,-73.81523859011641,"(40.676262203864916, -73.81523859011641)"
